column1	column2
gene259	GO:0005215, GO:0006810
gene263	GO:0016021, GO:0055085
gene264	GO:0005634, GO:0003677, GO:0006260, GO:0006281, GO:0006310
gene266	GO:0042302
gene267	GO:0005783, GO:0044425, GO:0000166, GO:0016874, GO:0031625, GO:0061630, GO:0061631, GO:0016567, GO:0018279, GO:0030433, GO:1904153
gene268	GO:0032040
gene270	GO:0005515
gene271	GO:0004867, GO:0005515
gene273	GO:0005515
gene274	GO:0005515
gene277	GO:0016020, GO:0008417, GO:0006486
gene278	GO:0005789, GO:0033185, GO:0004582, GO:0006506, GO:0035269, GO:0000136
gene279	GO:0005737, GO:0004842, GO:0006915, GO:0009966, GO:0016567, GO:0032465
gene280	GO:0005815, GO:0005509
gene281	GO:0005737, GO:0004842, GO:0006915, GO:0009966, GO:0016567, GO:0032465
gene282	GO:0005737, GO:0004842, GO:0006915, GO:0009966, GO:0016567, GO:0032465
gene283	GO:0009987, GO:0050794
gene284	GO:0008305, GO:0007155, GO:0007229
gene287	GO:0005741, GO:0016021, GO:0003924, GO:0005525, GO:0008053
gene288	GO:0005852, GO:0003743, GO:0005840, GO:0006446
gene289	GO:0003676, GO:0008408, GO:0006139
gene290	GO:0003684, GO:0006281
gene291	GO:0005515, GO:0008270
gene292	GO:0005515, GO:0008270
gene293	GO:0016021, GO:0015031
gene294	GO:0006606
gene297	GO:0004252, GO:0006508
gene299	GO:0004252, GO:0006508
gene300	GO:0004672, GO:0005515, GO:0005524, GO:0006468
gene301	GO:0003700, GO:0043565, GO:0006355, GO:0005667, GO:0045449
gene302	GO:0004252, GO:0006508
gene304	GO:0005515
gene305	GO:0005871, GO:0003777, GO:0005524, GO:0008017, GO:0007018, GO:0005874, GO:0045298
gene307	GO:0000166, GO:0003676
gene308	GO:0031012, GO:0004222, GO:0008270, GO:0006508
gene309	GO:0005840, GO:0003735, GO:0006412, GO:0042254
gene310	GO:0004672, GO:0005515, GO:0005524, GO:0006468
gene312	GO:0016020
gene313	GO:0012505, GO:0016021, GO:0043231, GO:0044444, GO:0015171, GO:0016787, GO:0003333
gene314	GO:0005871, GO:0003777, GO:0005524, GO:0008017, GO:0007018, GO:0005874, GO:0045298
gene315	GO:0016593, GO:0003677, GO:0006352, GO:0006368, GO:0016570
gene319	GO:0016021, GO:0022857, GO:0055085
gene320	GO:0046872
gene321	GO:0005515
gene322	GO:0005634, GO:0003700, GO:0006355, GO:0005667, GO:0045449
gene323	GO:0005509, GO:0005515
gene325	GO:0016020
gene326	GO:0005089, GO:0005515, GO:0043087
gene327	GO:0016035, GO:0000166, GO:0003677, GO:0003887, GO:0008408, GO:0019985, GO:0006260
gene333	GO:0016307, GO:0046488
gene335	GO:0005515
gene336	GO:0005515
gene337	GO:0016020, GO:0046873, GO:0030001, GO:0055085
gene338	GO:0052689
gene339	GO:0031461, GO:0031625, GO:0006511
gene340	GO:0052689
gene343	GO:0016021
gene345	GO:0003676, GO:0008270
gene346	GO:0005871, GO:0003777, GO:0005524, GO:0008017, GO:0007018, GO:0005874, GO:0045298
gene348	GO:0005515
gene349	GO:0005868, GO:0005515, GO:0007018
gene350	GO:0006904
gene351	GO:0016787
gene352	GO:0003677, GO:0046983, GO:0006355
gene353	GO:0052689
gene356	GO:0042302
gene357	GO:0005840
gene358	GO:0005515
gene359	GO:0005515
gene360	GO:0016021, GO:0055085
gene362	GO:0008134, GO:0005667
gene363	GO:0005634, GO:0003676, GO:0003700, GO:0046872, GO:0005667, GO:0045449
gene364	GO:0005634, GO:0003700, GO:0006355, GO:0005667, GO:0045449
gene368	GO:0004326, GO:0005524, GO:0006536, GO:0046656
gene369	GO:0008270, GO:0016491, GO:0055114
gene370	GO:0005515
gene371	GO:0003676, GO:0008270
gene372	GO:0016021, GO:0055085
gene373	GO:0050577, GO:0050662, GO:0042351, GO:0006000, GO:0006013
gene374	GO:0000166
gene375	GO:0003676, GO:0008270
gene376	GO:0042302
gene377	GO:0008236, GO:0006508
gene378	GO:0003714, GO:0005667, GO:0016481
gene380	GO:0043087
gene381	GO:0016021, GO:0055085
gene382	GO:0005515
gene383	GO:0008152
gene384	GO:0005515
gene385	GO:0000145, GO:0005886, GO:0005546, GO:0017049, GO:0006887, GO:0006893, GO:0051601
gene387	GO:0005576, GO:0008200, GO:0009405, GO:0006810
gene388	GO:0003824, GO:0005516, GO:0005977
gene389	GO:0009055, GO:0015035, GO:0045454, GO:0006118
gene391	GO:0008047, GO:0006689
gene392	GO:0052689
gene393	GO:0052689
gene394	GO:0008047, GO:0006689
gene396	GO:0003735, GO:0005840, GO:0042254
gene398	GO:0046983
gene402	GO:0005524
gene403	GO:0005774, GO:0016021, GO:0015171, GO:0003333
gene404	GO:0005515
gene405	GO:0005515
gene407	GO:0005509, GO:0005515
gene408	GO:0035556
gene410	GO:0003676, GO:0008408, GO:0006139
gene411	GO:0005840, GO:0003735, GO:0006412, GO:0042254
gene412	GO:0005683, GO:0071209, GO:0006398
gene414	GO:0003700, GO:0043565, GO:0006355, GO:0005667, GO:0045449
gene415	GO:0005488, GO:0000055, GO:0030036, GO:0042273
gene417	GO:0004252, GO:0006508
gene418	GO:0000796, GO:0005515, GO:0005524, GO:0007076
gene419	GO:0016020
gene420	GO:0003779, GO:0017048, GO:0007015, GO:0007049
gene421	GO:0005509, GO:0005515
gene423	GO:0031985, GO:0032154, GO:0010314, GO:0017137, GO:0032266, GO:0070273, GO:0070300, GO:0000281, GO:0000301, GO:0000915, GO:0007030, GO:0007053, GO:0007110, GO:0007111, GO:0007112, GO:0007224, GO:0036089, GO:0090307
gene424	GO:0016020, GO:0007155
gene425	GO:0005634, GO:0005515, GO:0008270, GO:0007049
gene426	GO:0016020, GO:0007155
gene427	GO:0016020, GO:0008083, GO:0007165, GO:0008283, GO:0040007
gene428	GO:0005515
gene429	GO:0005515
gene430	GO:0008270
gene431	GO:0004383, GO:0020037, GO:0006182, GO:0035556, GO:0006144, GO:0046039
gene432	GO:0005515, GO:0007165
gene433	GO:0004674, GO:0005524, GO:0006468, GO:0009069
gene434	GO:0001518, GO:0005248, GO:0006814, GO:0055085
gene435	GO:0005248, GO:0006814, GO:0055085, GO:0001518
gene436	GO:0005248, GO:0006814, GO:0001518
gene438	GO:0008121, GO:0006118, GO:0006119, GO:0015992, GO:0045285
gene440	GO:0000784, GO:0003677, GO:0000723
gene441	GO:0005515, GO:0007165
gene442	GO:0005737, GO:0000045
gene443	GO:0008289
gene444	GO:0016021, GO:0004890, GO:0005230, GO:0006821, GO:0007214
gene445	GO:0003676, GO:0046872
gene446	GO:0005488
gene447	GO:0005515
gene448	GO:0005515
gene450	GO:0016301, GO:0046474
gene451	GO:0005634, GO:0003677
gene452	GO:0016337
gene455	GO:0003677, GO:0006260
gene457	GO:0005515
gene458	GO:0016021
gene460	GO:0016021, GO:0004930, GO:0007186
gene461	GO:0016021, GO:0004930, GO:0006950, GO:0007186
gene463	GO:0004842, GO:0005515, GO:0016567
gene464	GO:0016021, GO:0004930, GO:0007186
gene466	GO:0005737, GO:0033925, GO:0005975
gene467	GO:0003676
gene469	GO:0016021, GO:0006810
gene470	GO:0005515
gene471	GO:0005506, GO:0016705, GO:0020037, GO:0055114
gene472	GO:0016021, GO:0004930, GO:0007186
gene473	GO:0005515
gene475	GO:0003743, GO:0005840, GO:0006446
gene478	GO:0004817, GO:0005524, GO:0006423, GO:0006534
gene480	GO:0005759, GO:0006121, GO:0018293
gene481	GO:0008289, GO:0007165
gene482	GO:0005515
gene486	GO:0016020, GO:0005515
gene487	GO:0005852, GO:0003743, GO:0005515, GO:0005840, GO:0006446
gene488	GO:0004452, GO:0005524, GO:0016787, GO:0006694, GO:0016114
gene489	GO:0005654, GO:0005737, GO:0050709, GO:0051099
gene492	GO:0003677, GO:0003899, GO:0046983, GO:0006351, GO:0005730, GO:0006144, GO:0006206
gene493	GO:0016020
gene497	GO:0003676, GO:0008270
gene498	GO:0000126, GO:0001026, GO:0003677, GO:0006359
gene500	GO:0003677, GO:0046872
gene501	GO:0016021, GO:0004714, GO:0005524, GO:0007169, GO:0018108
gene502	GO:0005515
gene504	GO:0004252, GO:0006508
gene506	GO:0005524
gene507	GO:0004672, GO:0005524, GO:0006468
gene508	GO:0005515
gene509	GO:0005763, GO:0003735, GO:0042254
gene510	GO:0005576, GO:0005833, GO:0005506, GO:0019825, GO:0020037, GO:0015671
gene514	GO:0005730, GO:0019843, GO:0000027, GO:0000463
gene515	GO:0005515, GO:0000266
gene517	GO:0005515
gene518	GO:0005515, GO:0000266
gene520	GO:0005581, GO:0005201, GO:0005515, GO:0005578
gene522	GO:0000334, GO:0005506, GO:0055114, GO:0006568
gene523	GO:0005488
gene524	GO:0005488
gene525	GO:0016020, GO:0008417, GO:0006486
gene528	GO:0004176, GO:0005515, GO:0008270, GO:0006508, GO:0006510
gene530	GO:0003824
gene531	GO:0005524, GO:0016887
gene532	GO:0005524, GO:0051082, GO:0006457, GO:0006950
gene535	GO:0022857, GO:0044765
gene536	GO:0005581, GO:0005201, GO:0005515, GO:0005578
gene537	GO:0004252, GO:0006508
gene538	GO:0005846, GO:0000166, GO:0000339, GO:0045292
gene540	GO:0003700, GO:0043565, GO:0006355, GO:0005667, GO:0045449
gene541	GO:0005524, GO:0051082, GO:0006457, GO:0006950
gene543	GO:0005737, GO:0004814, GO:0005524, GO:0006420, GO:0006525, GO:0006560
gene544	GO:0017183
gene547	GO:0016021
gene548	GO:0030246
gene549	GO:0016020, GO:0008417, GO:0006486
gene552	GO:0005515
gene553	GO:0004672, GO:0005515, GO:0006468
gene554	GO:0005515
gene555	GO:0016020, GO:0003924, GO:0004672, GO:0005524, GO:0005525, GO:0006468, GO:0006886, GO:0006913, GO:0007264
gene556	GO:0016020, GO:0008417, GO:0006486
gene558	GO:0016020, GO:0008417, GO:0006486
gene559	GO:0016020, GO:0008417, GO:0006486
gene560	GO:0016020, GO:0008417, GO:0006486
gene563	GO:0004672, GO:0005515, GO:0005524, GO:0006468
gene564	GO:0005739, GO:0046872, GO:0015031
gene566	GO:0005515
gene567	GO:0005581, GO:0005201, GO:0005515, GO:0005578
gene569	GO:0005515
gene570	GO:0004252, GO:0006508
gene573	GO:0000166, GO:0003676
gene576	GO:0005515
gene577	GO:0030130, GO:0030132, GO:0005198, GO:0016787, GO:0006886, GO:0016192
gene578	GO:0005515
gene580	GO:0004674, GO:0005524, GO:0006468, GO:0009069
gene582	GO:0016021
gene583	GO:0005634, GO:0003676, GO:0005515, GO:0008270
gene585	GO:0004867
gene586	GO:0008270, GO:0007275, GO:0045893
gene587	GO:0005515
gene588	GO:0033180, GO:0046961, GO:0015991, GO:0006119
gene589	GO:0005515
gene590	GO:0003824
gene591	GO:0005515
gene592	GO:0004672, GO:0006468
gene593	GO:0004797, GO:0005524, GO:0006206, GO:0006230
gene594	GO:0005515
gene597	GO:0004252, GO:0006508
gene598	GO:0004435, GO:0005509, GO:0005515, GO:0035556, GO:0007242, GO:0009395, GO:0046339
gene599	GO:0005515
gene600	GO:0005515
gene604	GO:0016021, GO:0004930, GO:0007186
gene606	GO:0005515, GO:0008270
gene607	GO:0008270, GO:0016491, GO:0055114
gene608	GO:0004252, GO:0006508
gene609	GO:0016020, GO:0003830, GO:0006487
gene610	GO:0005622, GO:0005215, GO:0006810
gene613	GO:0004252, GO:0006508
gene615	GO:0003676
gene617	GO:0005622, GO:0005215, GO:0006810
gene620	GO:0000166, GO:0016301, GO:0016310
gene621	GO:0005488
gene622	GO:0005576
gene623	GO:0016020, GO:0003830, GO:0006487
gene627	GO:0005515, GO:0006457
gene628	GO:0004672, GO:0005524, GO:0006468
gene634	GO:0005515
gene635	GO:0016021, GO:0055085
gene636	GO:0016020
gene638	GO:0003677, GO:0008270
gene639	GO:0000166, GO:0003676
gene640	GO:0005794, GO:0016021, GO:0001733, GO:0009058, GO:0006687
gene641	GO:0005794, GO:0016021, GO:0001733, GO:0009058, GO:0006687
gene646	GO:0005779, GO:0005515, GO:0008270, GO:0016558
gene650	GO:0005515
gene651	GO:0008233
gene653	GO:0051213, GO:0055114
gene654	GO:0005515, GO:0008270
gene658	GO:0016020, GO:0008417, GO:0006486
gene661	GO:0031012, GO:0004222, GO:0005515, GO:0008270, GO:0006508
gene662	GO:0031012, GO:0004222, GO:0005515, GO:0008270, GO:0006508
gene663	GO:0031012, GO:0004222, GO:0005515, GO:0008270, GO:0006508
gene664	GO:0031012, GO:0004222, GO:0005515, GO:0008270, GO:0006508
gene665	GO:0031012, GO:0004222, GO:0005515, GO:0008270, GO:0006508
gene667	GO:0005524, GO:0030983, GO:0006298
gene668	GO:0016021, GO:0008236, GO:0006465
gene669	GO:0016768, GO:0006597, GO:0006525, GO:0006560, GO:0019482
gene677	GO:0000166, GO:0019722
gene678	GO:0005634
gene679	GO:0015930, GO:0016639, GO:0051536, GO:0006537, GO:0055114, GO:0006118
gene681	GO:0005634, GO:0003676, GO:0003700, GO:0046872, GO:0006357, GO:0010038, GO:0055076, GO:0005667, GO:0045449
gene683	GO:0008233
gene684	GO:0005634, GO:1901031
gene694	GO:0005515
gene696	GO:0005515
gene707	GO:0016020, GO:0016757
gene708	GO:0016020, GO:0008417, GO:0006486
gene709	GO:0016020, GO:0008417, GO:0006486
gene710	GO:0008146
gene712	GO:0016020, GO:0008417, GO:0006486
gene717	GO:0016020, GO:0005515
gene718	GO:0016021, GO:0032580, GO:0008417, GO:0006486, GO:0036065
gene719	GO:0008146, GO:0008152
gene723	GO:0005840, GO:0003735, GO:0006412, GO:0042254
gene724	GO:0042302
gene725	GO:0042600, GO:0004601, GO:0020037, GO:0006979, GO:0055114, GO:0006804
gene728	GO:0042302
gene729	GO:0008270
gene730	GO:0005622, GO:0008270, GO:0035556
gene739	GO:0042600, GO:0004601, GO:0020037, GO:0006979, GO:0055114, GO:0006804
gene741	GO:0016021, GO:0022891, GO:0055085
gene745	GO:0005515, GO:0008270
gene749	GO:0005515, GO:0008270
gene752	GO:0016021, GO:0008271, GO:0008272, GO:0055085
gene753	GO:0016301
gene754	GO:0005488
gene756	GO:0016021, GO:0008271, GO:0008272, GO:0055085
gene757	GO:0043231, GO:0000166, GO:0003678, GO:0006259, GO:0006974, GO:0044710, GO:0044763, GO:0051276, GO:0005657
gene758	GO:0016020, GO:0004970, GO:0005234, GO:0006811, GO:0007165, GO:0007268
gene759	GO:0016020, GO:0004970, GO:0005234, GO:0006811, GO:0007165, GO:0007268
gene760	GO:0017146, GO:0030054, GO:0030425, GO:0045211, GO:0004972, GO:0005234, GO:0034220, GO:0035235, GO:0035249
gene763	GO:0005634
gene764	GO:0003700, GO:0043565, GO:0006355, GO:0005667, GO:0045449
gene765	GO:0016021, GO:0015297, GO:0098656
gene766	GO:0044237, GO:0044238, GO:0044763, GO:0065007, GO:0071704
gene770	GO:0016020, GO:0046873, GO:0030001, GO:0055085
gene771	GO:0005737, GO:0006516
gene773	GO:0043565, GO:0006355
gene776	GO:0005840, GO:0003735, GO:0006412, GO:0042254
gene777	GO:0044441, GO:0007275, GO:0044763, GO:0048856
gene778	GO:0033743, GO:0006979, GO:0030091, GO:0055114
gene780	GO:0033743, GO:0006979, GO:0030091, GO:0055114
gene782	GO:0035556, GO:0040008
gene792	GO:0030117, GO:0003824, GO:0005198, GO:0005515, GO:0006886, GO:0016192
gene796	GO:0016491, GO:0008152
gene808	GO:0008270
gene810	GO:0005634, GO:0044446
gene815	GO:0005634, GO:0044446
gene816	GO:0003993, GO:0006771, GO:0019497
gene817	GO:0005615
gene818	GO:0005089, GO:0043087
gene819	GO:0005634, GO:0003677, GO:0003700, GO:0005524, GO:0006355, GO:0005667, GO:0045449
gene821	GO:0008270
gene822	GO:0005515
gene823	GO:0005634, GO:0003677, GO:0003700, GO:0005524, GO:0006355, GO:0005667, GO:0045449
gene824	GO:0005515
gene825	GO:0016020, GO:0005524, GO:0006605, GO:0017038
gene826	GO:0016020, GO:0005524, GO:0006605, GO:0017038
gene827	GO:0016021, GO:0016857, GO:0006024
gene828	GO:0043231, GO:0051537
gene832	GO:0008045, GO:0016201
gene833	GO:0006351
gene834	GO:0005515
gene835	GO:0016021, GO:0051205
gene836	GO:0005509
gene838	GO:0005634, GO:0008284, GO:0034243
gene839	GO:0005488
gene845	GO:0055085
gene846	GO:0003884, GO:0071949, GO:0046416, GO:0055114, GO:0006118, GO:0006525, GO:0006544, GO:0006560, GO:0006563, GO:0006566, GO:0006591
gene847	GO:0035556
gene848	GO:0004047, GO:0005515, GO:0006546, GO:0006563, GO:0006566
gene849	GO:0005634, GO:0005524, GO:0016817, GO:0042393, GO:0006355
gene853	GO:0005319, GO:0006869
gene854	GO:0005509
gene856	GO:0005089, GO:0005515, GO:0043087
gene857	GO:0005515
gene859	GO:0005515
gene861	GO:0080019
gene862	GO:0000030, GO:0000136
gene863	GO:0016021, GO:0004930, GO:0007186
gene864	GO:0046982
gene865	GO:0016021
gene866	GO:0016021, GO:0004930, GO:0007186, GO:0007601, GO:0007602
gene867	GO:0016021, GO:0004930, GO:0007186, GO:0007601, GO:0007602
gene868	GO:0016021, GO:0004930, GO:0007186, GO:0007601, GO:0007602
gene870	GO:0016021, GO:0004930, GO:0007186, GO:0007601, GO:0007602
gene871	GO:0016787
gene872	GO:0005515, GO:0046872
gene873	GO:0000786, GO:0005634, GO:0003677, GO:0005089, GO:0046982, GO:0043087
gene874	GO:0003676, GO:0046872
gene875	GO:0003878, GO:0005524, GO:0048037, GO:0006085, GO:0006099
gene876	GO:0008270
gene877	GO:0016491, GO:0055114
gene878	GO:0005576, GO:0005102, GO:0007275, GO:0016055
gene879	GO:0005794, GO:0016021, GO:0001733, GO:0009058, GO:0006687
gene880	GO:0070776, GO:0005515, GO:0008270, GO:0008285, GO:0016573
gene881	GO:0000118, GO:0032041, GO:0046872, GO:0046969, GO:0046970, GO:0097372, GO:0006351, GO:0006355, GO:0061647, GO:0070933, GO:1990619
gene882	GO:0003824
gene883	GO:0008474, GO:0006464
gene884	GO:0005509
gene888	GO:0004601, GO:0020037, GO:0006979, GO:0055114, GO:0006804
gene891	GO:0004601, GO:0020037, GO:0006979, GO:0055114, GO:0006804
gene892	GO:0004601, GO:0020037, GO:0006979, GO:0055114, GO:0006804
gene893	GO:0004601, GO:0020037, GO:0006979, GO:0055114, GO:0006804
gene894	GO:0004601, GO:0020037, GO:0006979, GO:0055114, GO:0006804
gene895	GO:0004601, GO:0020037, GO:0006979, GO:0055114, GO:0006804
gene896	GO:0005506, GO:0051536, GO:0016226
gene897	GO:0003824, GO:0030170, GO:0009058
gene898	GO:0005085, GO:0043087
gene899	GO:0005763, GO:0003735, GO:0042254
gene904	GO:0003676, GO:0005524
gene905	GO:0008237, GO:0008270, GO:0006508
gene908	GO:0016021, GO:0000166, GO:0005388, GO:0008270, GO:0006816, GO:0016529
gene909	GO:0004252, GO:0006508
gene916	GO:0046872
gene917	GO:0000439, GO:0008270, GO:0006289, GO:0006351
gene924	GO:0005515, GO:0007165
gene925	GO:0000176, GO:0000177, GO:0005730, GO:0016075, GO:0031125, GO:0034427, GO:0034475, GO:0071028, GO:0071051
gene926	GO:0005515
gene927	GO:0007165
gene928	GO:0006479
gene929	GO:0006810
gene933	GO:0004697, GO:0005524, GO:0006468, GO:0035556, GO:0009069
gene934	GO:0003676
gene935	GO:0016020, GO:0005272, GO:0006814
gene937	GO:0003723
gene940	GO:0005509, GO:0005515
gene941	GO:0005622, GO:0016020, GO:0003924, GO:0005525, GO:0006886, GO:0006913, GO:0007264
gene942	GO:0008278, GO:0003682, GO:0005524, GO:0046982, GO:0007064, GO:0000785
gene944	GO:0005515
gene951	GO:0003824
gene952	GO:0003824, GO:0008152
gene954	GO:0003676
gene955	GO:0003824, GO:0008152
gene957	GO:0003824, GO:0008152
gene963	GO:0005515, GO:0019992, GO:0007268
gene964	GO:0005515, GO:0019992, GO:0007268
gene965	GO:0005515, GO:0019992, GO:0007268
gene966	GO:0019992, GO:0007268, GO:0035556
gene969	GO:0005515
gene971	GO:0005515
gene972	GO:0016021, GO:0005328, GO:0006836, GO:0006812
gene974	GO:0006869
gene975	GO:0004672, GO:0005524, GO:0046872, GO:0006468
gene977	GO:0008479, GO:0008616
gene978	GO:0016831, GO:0030170, GO:0006520
gene979	GO:0005783, GO:0005829, GO:0016874, GO:0031625, GO:0061630, GO:0000209, GO:0030433
gene980	GO:0005737, GO:0000287, GO:0008253
gene981	GO:0016020, GO:0005272, GO:0006814
gene983	GO:0005488
gene988	GO:0035556
gene996	GO:0004601, GO:0020037, GO:0006979, GO:0055114, GO:0006804
gene997	GO:0016758, GO:0008152
gene998	GO:0016849, GO:0009190, GO:0035556
gene999	GO:0004252, GO:0006508
gene1000	GO:0016021, GO:0055085
gene1001	GO:0003676, GO:0005515, GO:0046872
gene1002	GO:0004017, GO:0005524, GO:0006172, GO:0006144, GO:0046034
